job_id,condition_id,track_key,seed,changed_blocks,total_blocks,changed_seconds,input_error_mass,changed_input_distance,inside_output_change,outside_output_change,localization_contrast,changed_target_effect,full_output_change
al_james_schoolboy_facination_deepchroma_replay_S123,deepchroma_replay,al_james_schoolboy_facination,123,24,24,12.0,0.6588530799977358,0.6588530799977358,0.48337648810409234,0.0,0.0,0.5274579374683802,0.48337648810409234
al_james_schoolboy_facination_deepchroma_replay_S2027,deepchroma_replay,al_james_schoolboy_facination,2027,24,24,12.0,0.6588530799977358,0.6588530799977358,0.3500330398443349,0.0,0.0,0.44897310707394994,0.3500330398443349
al_james_schoolboy_facination_deepchroma_replay_S42,deepchroma_replay,al_james_schoolboy_facination,42,24,24,12.0,0.6588530799977358,0.6588530799977358,0.45008554089959735,0.0,0.0,0.412468944704687,0.45008554089959735
am_contra_heart_peripheral_deepchroma_replay_S123,deepchroma_replay,am_contra_heart_peripheral,123,21,24,10.5,0.5013996391017012,0.5730281589733728,0.5039955040087459,0.058845424103842414,0.4451500799049035,0.5381437053242282,0.4483517440206329
am_contra_heart_peripheral_deepchroma_replay_S2027,deepchroma_replay,am_contra_heart_peripheral,2027,21,24,10.5,0.5013996391017012,0.5730281589733728,0.2648364796828674,0.15684698930151988,0.1079894903813475,0.37761951867837107,0.251337793385199
am_contra_heart_peripheral_deepchroma_replay_S42,deepchroma_replay,am_contra_heart_peripheral,42,21,24,10.5,0.5013996391017012,0.5730281589733728,0.33072414812186596,0.0586621363957723,0.2720620117260937,0.49122169087454554,0.29671639665610433
arise_run_run_run_deepchroma_replay_S123,deepchroma_replay,arise_run_run_run,123,12,24,6.0,0.26717184139971123,0.5343436827994226,0.5009601056781482,0.2855782282267248,0.2153818774514234,0.6116418709905406,0.39326916695243647
arise_run_run_run_deepchroma_replay_S2027,deepchroma_replay,arise_run_run_run,2027,12,24,6.0,0.26717184139971123,0.5343436827994226,0.33984007011258943,0.2126582894225761,0.12718178069001332,0.4538766845296018,0.2762491797675828
arise_run_run_run_deepchroma_replay_S42,deepchroma_replay,arise_run_run_run,42,12,24,6.0,0.26717184139971123,0.5343436827994226,0.37027516662722765,0.06902819777699815,0.3012469688502295,0.3682482806224026,0.21965168220211292
ben_carrigan_we_ll_talk_about_it_all_tonight_deepchroma_replay_S123,deepchroma_replay,ben_carrigan_we_ll_talk_about_it_all_tonight,123,21,24,10.5,0.423661286129369,0.48418432700499325,0.5492571402505817,0.010373135939393818,0.5388840043111879,0.4643162550530105,0.48189663971168323
ben_carrigan_we_ll_talk_about_it_all_tonight_deepchroma_replay_S2027,deepchroma_replay,ben_carrigan_we_ll_talk_about_it_all_tonight,2027,21,24,10.5,0.423661286129369,0.48418432700499325,0.5558048099995995,0.18710358065984134,0.36870122933975813,0.4890837217320169,0.5097171563321297
